Date,Close/Last,Volume,Open,High,Low
10/02/2020,$87.25,N/A,$87.25,$87.25,$87.25
10/01/2020,$87.25,N/A,$87.25,$87.25,$87.25
09/30/2020,$87.25,N/A,$87.25,$87.25,$87.25
09/29/2020,$87.25,N/A,$87.25,$87.25,$87.25
09/28/2020,$87.25,N/A,$87.25,$87.25,$87.25
09/25/2020,$87.25,N/A,$87.25,$87.25,$87.25
09/24/2020,$87.25,1038,$87.25,$87.25,$87.25
09/23/2020,$84.55,N/A,$84.55,$84.55,$84.55
09/22/2020,$84.55,N/A,$84.55,$84.55,$84.55
09/21/2020,$84.55,138,$84.55,$84.55,$84.55
09/18/2020,$86,N/A,$86,$86,$86
09/17/2020,$86,N/A,$86,$86,$86
09/16/2020,$86,N/A,$86,$86,$86
09/15/2020,$86,245,$86,$86,$86
09/14/2020,$86.5,447,$86.5,$86.5,$86.5
09/11/2020,$83.15,N/A,$83.15,$83.15,$83.15
09/10/2020,$83.15,622,$83.6504,$83.6504,$83.15
09/09/2020,$72,100,$72,$72,$72
09/08/2020,$80,103,$80,$80,$80
09/04/2020,$81.05,N/A,$81.05,$81.05,$81.05
09/03/2020,$81.05,N/A,$81.05,$81.05,$81.05
09/02/2020,$81.05,N/A,$81.05,$81.05,$81.05
09/01/2020,$81.05,N/A,$81.05,$81.05,$81.05
08/31/2020,$81.05,N/A,$81.05,$81.05,$81.05
08/28/2020,$81.05,N/A,$81.05,$81.05,$81.05
08/27/2020,$81.05,N/A,$81.05,$81.05,$81.05
08/26/2020,$81.05,N/A,$81.05,$81.05,$81.05
08/25/2020,$81.05,N/A,$81.05,$81.05,$81.05
08/24/2020,$81.05,428,$81.05,$81.05,$81.05
08/21/2020,$82.2,N/A,$82.2,$82.2,$82.2
08/20/2020,$82.2,523,$82.2,$82.2,$82.2
08/19/2020,$82.75,N/A,$82.75,$82.75,$82.75
08/18/2020,$82.75,N/A,$82.75,$82.75,$82.75
08/17/2020,$82.75,N/A,$82.75,$82.75,$82.75
08/14/2020,$82.75,N/A,$82.75,$82.75,$82.75
08/13/2020,$82.75,N/A,$82.75,$82.75,$82.75
08/12/2020,$82.75,N/A,$82.75,$82.75,$82.75
08/11/2020,$82.75,N/A,$82.75,$82.75,$82.75
08/10/2020,$82.75,N/A,$82.75,$82.75,$82.75
08/07/2020,$82.75,150,$82.75,$82.75,$82.75
